SID,X,Y,20100506,20100510,20100519,20100526,20100617,20100623,20100708,20100714,20100730,20100828,20100911,20100926,20101010,20101016,20101113
A1,254435.2242,4505558.738,0.2215,0.1715,0.2,0.1555,0.1561,0.116,0.063,0.099,0.029,0.093,0.062,0.068,0.1155,0.144,0.107
A2,254434.1935,4505555.656,0.2065,0.194,0.227,0.164,0.1615,0.1275,0.071,0.12,0.0655,0.111,0.068,0.086,0.155,NA,0.131
A3,254437.0472,4505550.46,0.194,0.129,0.1345,0.0405,0.065,0.0495,0,0.0845,0,0.0665,0,0,0.082,0.104,0.067
A4,254438.8636,4505538.746,0.173,0.1605,0.203,0.1545,0.124,0.112,0.049,0.111,0.035,0.0995,0.05,0.07,0.1385,NA,0.1145
A5,254443.3634,4505517.083,0.194,0.1935,0.2155,0.161,0.1295,0.106,0.084,0.147,0.0465,0.1125,0.0945,0.0995,0.153,0.169,0.1345
6,254321.1951,4505578.107,0.55,0.3655,0.4025,NA,0.275,0.213,0.182,0.238,0.1525,0.195,0.1555,0.158,0.265,0.3035,0.2085
7,254315.1258,4505538.171,0.1745,0.186,0.2095,0.168,0.1485,0.112,0.085,0.094,0.0485,0.101,0.061,0.0775,0.1605,0.195,0.144
8,254315.6325,4505540.801,0.224,0.2215,0.194,0.132,0.1295,0.103,0.0725,0.1195,0.051,0.095,0.047,0.0745,0.151,NA,0.179
9,254318.8034,4505533.648,0.243,0.249,0.2575,0.19,0.1845,0.1565,0.1,0.1715,0.085,0.1435,0.109,0.1135,0.192,NA,0.191
10,254304.4119,4505533.32,0.2195,0.23,0.231,0.1675,0.1655,0.131,0.086,0.1415,0.073,0.1295,0.0775,0.0775,0.1755,0.196,0.1655
12,254378.3535,4505539.327,0.284,0.2735,0.2815,0.2235,0.1865,0.1575,0.111,0.187,0.1025,0.1375,0.0965,0.1135,0.1945,0.213,0.182
13,254394.3872,4505500.756,0.154,0.1615,0.168,0.105,0.138,0.1145,0.028,0.139,0.0215,0.106,0.052,0.0585,0.133,NA,0.098
14,254403.5683,4505486.842,0.226,0.232,0.2395,0.1845,0.1555,0.1175,0.0825,0.1765,0.079,0.1405,0.091,0.1045,0.204,0.209,0.1795
28,254529.4617,4505586.226,0.246,0.2515,0.253,0.189,0.165,0.147,0.0825,0.119,0.057,0.113,0.0775,0.078,0.1485,NA,0.119
29,254562.0566,4505556.107,0.2585,0.2625,0.2705,0.1855,0.183,0.1465,0.086,0.1655,0.0685,0.136,0.063,0.093,0.1965,0.176,0.1505
31,254602.039,4505614.949,0.194,0.1925,0.1845,0.1535,0.133,0.103,0.0445,0.118,0.034,0.0945,0.0525,0.071,0.1155,0.131,0.0965
32,254615.1476,4505653.193,0.297,0.296,0.2945,0.263,0.256,0.212,0.126,0.217,0.1105,0.173,0.119,0.1155,0.223,0.2555,0.212
34,254645.6295,4505638.2,0.1785,0.182,0.2055,0.162,0.1655,0.126,0.0615,0.1225,0.032,0.102,0.0585,0.085,0.1495,0.179,0.143
38,254283.8671,4505606.625,0.2795,0.2575,0.3065,0.199,0.203,0.166,0.1335,0.2195,0.1355,0.156,0.13,0.114,0.2015,0.225,0.146
40,254322.92,4505620.321,0.2565,0.2755,0.2575,0.2155,0.189,0.162,0.1175,0.194,0.1165,0.1455,0.1145,0.1315,0.205,0.225,0.198
44,254358.8148,4505658.576,0.2855,0.271,0.2855,0.2175,0.1665,0.1375,0.1105,0.1845,0.0895,0.145,0.1125,0.1105,0.2225,0.1895,0.177
45,254403.6211,4505611.44,0.2455,0.285,0.2775,0.2045,0.1755,0.14,0.105,0.1195,0.085,0.1325,0.082,0.1045,0.2015,0.208,0.1585
